Andhra Pradesh,15.6,9.3,13.4,20.4,26.9,22.8
Arunachal Pradesh,21.6,29.8,23.6,38.1,48.8,40.8
Assam,25.7,38.5,27.6,18.6,30.2,21.1
Bihar,22.5,11.8,22.2,28.4,38.2,28.9
Chhattisgarh,8.9,5.9,7.8,17.6,31.8,21.1
Delhi,10.6,0,10.5,22.4,23.6,22.5
Goa,27.8,42,32.9,14.3,42.2,25
Gujarat,15.2,13.6,14.9,10.9,10,10.7
Haryana,22,29.4,23.1,13.1,36.1,16.3
Himachal Pradesh,21.3,12.7,17.7,18.6,46,22.9
Jammu & Kashmir,11.6,15.1,12.6,18.6,38.7,24.4
Jharkhand,19.6,11.5,18.4,30.9,31.5,31
Karnataka,14.4,16.8,14.9,16.5,18.9,17.1
Kerala,20.5,61.7,32.5,27.4,65.2,41.5
Madhya Pradesh,11.4,4.8,10,18.4,22.9,19.3
Maharashtra,12.1,12.3,12.1,17,24.6,18.9
Manipur,33.2,40.6,35.3,37.9,34.5,36.8
Meghalaya,1,3.3,2,17.6,25.8,20.6
Mizoram,19,20.7,19.5,35.7,49.6,40.8
Nagaland,52.5,68.6,56.2,48.6,65.5,55.2
Odisha,25.3,16.7,23.3,21.9,35.3,25.2
Punjab,20.5,43.5,23.1,16.6,32.2,19.5
Rajasthan,16.1,3.9,13,16.1,33.8,18.5
Sikkim,6.7,15.9,9.7,10.5,17.9,12.8
Tamil Nadu,30.3,26.7,29.3,19.6,25.6,21.4
Telangana,20.6,21.1,20.8,26.2,29.2,27
Tripura,18.4,23.5,18.9,16.7,45.9,24.2
Uttarakhand,26.3,30.8,27.4,22.4,47.8,27.7
Uttar Pradesh,16.7,5.9,15.5,19.8,29,20.9
West Bengal,12.5,4.6,11,18.3,18.2,18.3
A & N Islands,22.2,78.6,39.2,10,72.4,34.1
Chandigarh,17.2,4.9,15.3,10,24.1,14.1
Dadra & Nagar Haveli,3.5,0,1.9,0.3,0,0.2
Daman & Diu,25.6,0,20.4,4.4,100,5.5
Lakshadweep,30.9,28.3,30.3,47.6,79.8,65.2
Puducherry,41.6,68.7,53.4,22,40.7,28
Average,20,22.8,21.1,20.9,37.3,25
All-India,17.4,13.6,16.6,18.7,27.2,20.6
State\UT,Rural - Male,Rural - Female,Rural - Person,Urban - Male,Urban - Female,Urban - Person
